Intervalo,Tiempo,Tiempo en movimiento,Distancia,Altura ganada,Altura perdida,Velocidad media,Velocidad media en movimiento,Velocidad máxima,FC media,FC máx.,Cadencia de pedaleo media,Cadencia de pedaleo máxima,Temperatura media,Calorías,
 1,13:17.0,13:17,5.00,42,35,22.6,22.6,40.1,134,165,88,125,17.1,146,
 2,18:30.7,18:27,5.00,92,6,16.2,16.3,34.2,147,164,86,144,17.7,231,
 3,29:29.2,29:25,5.00,293,49,10.2,10.2,45.4,152,172,80,185,21.3,346,
 4,18:46.9,18:41,5.00,123,292,16.0,16.1,51.5,140,162,77,115,21.3,149,
 5,15:18.1,15:17,5.00,77,164,19.6,19.6,54.8,136,159,84,120,20.5,106,
 6,28:18.7,28:15,5.00,257,27,10.6,10.6,41.5,145,161,82,210,19.2,275,
 7,25:45.4,25:34,5.00,192,0,11.6,11.7,26.6,141,155,88,120,19.1,190,
 8,18:36.8,18:34,5.00,116,79,16.1,16.2,38.6,139,156,88,117,18.6,148,
 9,31:56.7,28:43,5.00,123,131,9.4,10.4,37.7,135,158,85,251,21.2,232,
 10,20:18.4,20:15,5.00,129,28,14.8,14.8,33.5,148,160,88,129,19.7,225,
 11,18:04.2,17:45,5.00,38,309,16.6,16.9,40.3,132,159,80,127,18.7,96,
 12,10:00.4,10:00,5.00,23,172,30.0,30.0,63.5,140,159,93,139,21.0,86,
 13,9:31.5,9:29,5.00,39,227,31.5,31.6,61.9,150,168,94,144,23.0,103,
 14,2:48.4,2:47,1.51,0,60,32.3,32.6,56.5,140,153,97,129,22.8,23,
 Resumen,4:20:42.5,4:16:29.0,66.51,"1,544","1,579",15.3,15.6,63.5,142,172,85,251,19.9,"2,356",
