YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,4,30,12,52,3,,,,137,,
2016,4,30,12,52,4,,,,138,,
2016,4,30,12,52,5,,,,138,,
2016,4,30,12,52,6,,,,140,,
2016,4,30,12,52,7,,,,140,,
2016,4,30,12,52,8,,,,141,,
2016,4,30,12,52,9,,,,140,,
2016,4,30,12,52,10,,,,138,,
2016,4,30,12,52,11,,,,137,,
2016,4,30,12,52,12,,,,137,,
2016,4,30,12,52,13,,,,137,,
2016,4,30,12,52,14,,,,137,,
2016,4,30,12,52,15,,,,137,,
2016,4,30,12,52,16,,,,137,,
2016,4,30,12,52,17,,,,137,,
2016,4,30,12,52,18,,,,137,,
2016,4,30,12,52,19,,,,135,,
2016,4,30,12,52,20,0,0,,135,,
2016,4,30,12,52,21,14,89,,133,,
2016,4,30,12,52,22,14,89,,133,,
2016,4,30,12,52,23,14,89,,133,,
2016,4,30,12,52,24,14,89,,133,,
2016,4,30,12,52,25,14,89,,134,,
2016,4,30,12,52,26,0,0,,134,,
2016,4,30,12,52,27,0,0,,135,,
2016,4,30,12,52,28,0,0,,136,,
2016,4,30,12,52,29,0,0,,137,,
2016,4,30,12,52,30,0,0,,138,,
2016,4,30,12,52,31,0,0,,138,,
2016,4,30,12,52,32,0,0,,139,,
2016,4,30,12,52,33,0,0,,140,,
2016,4,30,12,52,34,14,89,,140,,
2016,4,30,12,52,35,14,89,,140,,
2016,4,30,12,52,36,13,86,,139,,
2016,4,30,12,52,37,13,86,,139,,
2016,4,30,12,52,38,12,84,,139,,
2016,4,30,12,52,39,12,84,,139,,
2016,4,30,12,52,40,12,84,,139,,
2016,4,30,12,52,41,12,84,,134,,
2016,4,30,12,52,42,12,84,,134,,
2016,4,30,12,52,43,0,0,,131,,
2016,4,30,12,52,44,0,0,,132,,
2016,4,30,12,52,45,0,0,,134,,
2016,4,30,12,52,46,8,27,,136,,
2016,4,30,12,52,47,8,27,,138,,
2016,4,30,12,52,48,8,27,,138,,
2016,4,30,12,52,49,8,27,,138,,
2016,4,30,12,52,50,8,27,,138,,
2016,4,30,12,52,51,0,0,,139,,
2016,4,30,12,52,52,0,0,,139,,
2016,4,30,12,52,53,0,0,,139,,
2016,4,30,12,52,54,0,0,,140,,
2016,4,30,12,52,55,12,79,,139,,
2016,4,30,12,52,56,12,79,,138,,
2016,4,30,12,52,57,13,82,,137,,
2016,4,30,12,52,58,12,80,,135,,
2016,4,30,12,52,59,12,77,,136,,
2016,4,30,12,53,0,12,77,,137,,
2016,4,30,12,53,1,11,77,,137,,
2016,4,30,12,53,2,11,77,,138,,
2016,4,30,12,53,3,11,77,,139,,
2016,4,30,12,53,4,11,77,,140,,
2016,4,30,12,53,5,11,77,,140,,
2016,4,30,12,53,6,0,0,,141,,
2016,4,30,12,53,7,0,0,,141,,
2016,4,30,12,53,8,0,0,,141,,
2016,4,30,12,53,9,0,0,,141,,
2016,4,30,12,53,10,0,0,,142,,
2016,4,30,12,53,11,0,0,,142,,
2016,4,30,12,53,12,0,0,,144,,
2016,4,30,12,53,13,0,0,,145,,
2016,4,30,12,53,14,0,0,,146,,
2016,4,30,12,53,15,8,81,,147,,
2016,4,30,12,53,16,8,81,,147,,
