YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,5,1,12,41,37,,,,121,,
2016,5,1,12,41,38,,,,96,,
2016,5,1,12,41,39,,,,94,,
2016,5,1,12,41,40,0,0,,91,,
2016,5,1,12,41,41,26,89,,88,,
2016,5,1,12,41,42,26,89,,86,,
2016,5,1,12,41,43,26,89,,87,,
2016,5,1,12,41,44,26,89,,87,,
2016,5,1,12,41,45,26,89,,90,,
2016,5,1,12,41,46,0,0,,90,,
2016,5,1,12,41,47,0,0,,94,,
2016,5,1,12,41,48,0,0,,94,,
2016,5,1,12,41,49,0,0,,95,,
2016,5,1,12,41,50,27,1,,96,,
2016,5,1,12,41,51,31,1,,96,,
2016,5,1,12,41,52,33,1,,97,,
2016,5,1,12,41,53,33,1,,98,,
2016,5,1,12,41,54,33,1,,100,,
2016,5,1,12,41,55,33,1,,100,,
2016,5,1,12,41,56,33,1,,100,,
2016,5,1,12,41,57,0,0,,99,,
2016,5,1,12,41,58,0,0,,99,,
2016,5,1,12,41,59,0,0,,97,,
2016,5,1,12,42,0,0,0,,96,,
2016,5,1,12,42,1,0,0,,96,,
2016,5,1,12,42,2,0,0,,96,,
2016,5,1,12,42,3,0,0,,96,,
2016,5,1,12,42,4,0,0,,96,,
2016,5,1,12,42,5,0,0,,0,,
2016,5,1,12,42,6,39,15,,0,,
2016,5,1,12,42,7,39,15,,89,,
2016,5,1,12,42,8,39,15,,89,,
2016,5,1,12,42,9,39,15,,95,,
2016,5,1,12,42,10,39,15,,97,,
2016,5,1,12,42,11,39,15,,100,,
2016,5,1,12,42,12,39,15,,101,,
2016,5,1,12,42,13,39,15,,101,,
2016,5,1,12,42,14,0,0,,101,,
2016,5,1,12,42,15,0,0,,101,,
2016,5,1,12,42,16,0,0,,101,,
2016,5,1,12,42,17,0,0,,98,,
2016,5,1,12,42,18,40,15,,98,,
2016,5,1,12,42,19,38,15,,98,,
2016,5,1,12,42,20,37,4,,98,,
2016,5,1,12,42,21,37,4,,98,,
2016,5,1,12,42,22,36,254,,0,,
2016,5,1,12,42,23,35,254,,0,,
2016,5,1,12,42,24,34,55,,0,,
2016,5,1,12,42,25,34,210,,0,,
2016,5,1,12,42,26,34,210,,0,,
2016,5,1,12,42,27,34,210,,0,,
2016,5,1,12,42,28,34,210,,0,,
2016,5,1,12,42,29,34,210,,0,,
2016,5,1,12,42,30,34,210,,0,,
2016,5,1,12,42,31,0,0,,102,,
2016,5,1,12,42,32,0,0,,104,,
2016,5,1,12,42,33,0,0,,105,,
2016,5,1,12,42,34,0,0,,105,,
2016,5,1,12,42,35,0,0,,105,,
2016,5,1,12,42,36,32,55,,105,,
2016,5,1,12,42,37,35,78,,105,,
2016,5,1,12,42,38,35,78,,120,,
2016,5,1,12,42,39,35,78,,121,,
2016,5,1,12,42,40,35,78,,125,,
2016,5,1,12,42,41,35,78,,126,,
2016,5,1,12,42,42,0,0,,124,,
2016,5,1,12,42,43,0,0,,120,,
2016,5,1,12,42,44,0,0,,118,,
2016,5,1,12,42,45,0,0,,115,,
2016,5,1,12,42,46,31,62,,114,,
2016,5,1,12,42,47,31,97,,115,,
2016,5,1,12,42,48,31,97,,117,,
2016,5,1,12,42,49,31,97,,119,,
2016,5,1,12,42,50,31,97,,121,,
2016,5,1,12,42,51,31,97,,122,,
2016,5,1,12,42,52,33,101,,124,,
2016,5,1,12,42,53,33,100,,124,,
2016,5,1,12,42,54,33,100,,125,,
2016,5,1,12,42,55,32,73,,125,,
2016,5,1,12,42,56,33,103,,125,,
2016,5,1,12,42,57,33,103,,125,,
2016,5,1,12,42,58,32,102,,125,,
2016,5,1,12,42,59,32,102,,124,,
2016,5,1,12,43,0,32,96,,124,,
2016,5,1,12,43,1,31,97,,124,,
2016,5,1,12,43,2,32,99,,125,,
2016,5,1,12,43,3,32,101,,125,,
2016,5,1,12,43,4,32,64,,125,,
2016,5,1,12,43,5,32,64,,125,,
2016,5,1,12,43,6,32,64,,127,,
2016,5,1,12,43,7,31,56,,127,,
2016,5,1,12,43,8,31,56,,127,,
2016,5,1,12,43,9,31,56,,127,,
2016,5,1,12,43,10,31,56,,127,,
2016,5,1,12,43,11,31,56,,119,,
2016,5,1,12,43,12,0,0,,119,,
2016,5,1,12,43,13,0,0,,122,,
2016,5,1,12,43,14,0,0,,123,,
2016,5,1,12,43,15,0,0,,124,,
2016,5,1,12,43,16,0,0,,124,,
2016,5,1,12,43,17,0,0,,125,,
2016,5,1,12,43,18,0,0,,125,,
2016,5,1,12,43,19,0,0,,126,,
2016,5,1,12,43,20,0,0,,125,,
2016,5,1,12,43,21,0,0,,124,,
2016,5,1,12,43,22,0,0,,124,,
2016,5,1,12,43,23,0,0,,122,,
2016,5,1,12,43,24,0,0,,120,,
2016,5,1,12,43,25,0,0,,120,,
2016,5,1,12,43,26,0,0,,120,,
2016,5,1,12,43,27,0,0,,120,,
2016,5,1,12,43,28,31,53,,120,,
2016,5,1,12,43,29,29,53,,111,,
2016,5,1,12,43,30,28,53,,111,,
2016,5,1,12,43,31,27,53,,111,,
2016,5,1,12,43,32,27,53,,111,,
2016,5,1,12,43,33,25,53,,111,,
2016,5,1,12,43,34,25,53,,0,,
2016,5,1,12,43,35,24,85,,0,,
2016,5,1,12,43,36,23,86,,0,,
2016,5,1,12,43,37,25,89,,118,,
2016,5,1,12,43,38,25,89,,119,,
2016,5,1,12,43,39,25,89,,121,,
2016,5,1,12,43,40,25,89,,122,,
2016,5,1,12,43,41,25,89,,124,,
2016,5,1,12,43,42,0,0,,125,,
2016,5,1,12,43,43,0,0,,126,,
2016,5,1,12,43,44,0,0,,126,,
2016,5,1,12,43,45,0,0,,127,,
2016,5,1,12,43,46,27,96,,128,,
2016,5,1,12,43,47,27,96,,129,,
2016,5,1,12,43,48,23,96,,128,,
2016,5,1,12,43,49,23,96,,127,,
2016,5,1,12,43,50,23,9,,125,,
2016,5,1,12,43,51,23,9,,125,,
2016,5,1,12,43,52,23,9,,121,,
2016,5,1,12,43,53,23,9,,120,,
2016,5,1,12,43,54,23,9,,119,,
2016,5,1,12,43,55,18,9,,119,,
2016,5,1,12,43,56,7,11,,118,,
2016,5,1,12,43,57,6,11,,118,,
2016,5,1,12,43,58,6,11,,118,,
2016,5,1,12,43,59,6,17,,118,,
2016,5,1,12,44,0,6,17,,116,,
2016,5,1,12,44,1,1,26,,116,,
2016,5,1,12,44,2,1,26,,116,,
2016,5,1,12,44,3,6,26,,117,,
2016,5,1,12,44,4,7,0,,119,,
2016,5,1,12,44,5,7,15,,120,,
2016,5,1,12,44,6,7,15,,122,,
2016,5,1,12,44,7,7,15,,122,,
2016,5,1,12,44,8,7,15,,122,,
2016,5,1,12,44,9,7,15,,124,,
2016,5,1,12,44,10,0,0,,127,,
2016,5,1,12,44,11,0,0,,128,,
2016,5,1,12,44,12,0,0,,130,,
2016,5,1,12,44,13,0,0,,131,,
2016,5,1,12,44,14,0,0,,132,,
2016,5,1,12,44,15,0,0,,133,,
2016,5,1,12,44,16,0,0,,133,,
2016,5,1,12,44,17,0,0,,133,,
2016,5,1,12,44,18,0,0,,133,,
2016,5,1,12,44,19,19,72,,133,,
2016,5,1,12,44,20,19,72,,134,,
2016,5,1,12,44,21,23,72,,134,,
2016,5,1,12,44,22,22,72,,134,,
2016,5,1,12,44,23,22,72,,133,,
2016,5,1,12,44,24,22,72,,132,,
2016,5,1,12,44,25,22,72,,132,,
2016,5,1,12,44,26,22,72,,132,,
2016,5,1,12,44,27,22,72,,132,,
2016,5,1,12,44,28,21,51,,132,,
2016,5,1,12,44,29,21,51,,132,,
2016,5,1,12,44,30,24,78,,133,,
2016,5,1,12,44,31,24,78,,132,,
2016,5,1,12,44,32,24,78,,132,,
2016,5,1,12,44,33,24,78,,131,,
2016,5,1,12,44,34,24,78,,130,,
2016,5,1,12,44,35,24,78,,130,,
2016,5,1,12,44,36,0,0,,129,,
2016,5,1,12,44,37,0,0,,129,,
2016,5,1,12,44,38,0,0,,127,,
2016,5,1,12,44,39,0,0,,128,,
2016,5,1,12,44,40,0,0,,128,,
2016,5,1,12,44,41,0,0,,130,,
2016,5,1,12,44,42,0,0,,130,,
2016,5,1,12,44,43,0,0,,132,,
